id,question
144,"Where is the headquarter of Microsoft?"
145,"Where is the headquarter of Bank of America Corp.?"
146,"Where is the headquarter of Wells Fargo?"
147,"Where is the headquarter of Home Depot?"
148,"Where is the headquarter of Citigroup?"
149,"Where is the headquarter of Phillips 66?"
150,"Where is the headquarter of IBM?"
151,"Where is the headquarter of State Farm Insurance Cos.?"
152,"Where is the headquarter of Alphabet?"
153,"Where is the headquarter of Comcast?"
154,"Where is the headquarter of PepsiCo?"
155,"Where is the headquarter of United Technologies?"
156,"Where is the headquarter of Intel?"
157,"Where is the headquarter of Humana?"
158,"Where is the headquarter of Disney?"
159,"Where is the headquarter of Cisco Systems?"
160,"Where is the headquarter of Pfizer?"
161,"Where is the headquarter of Dow Chemical?"
162,"Where is the headquarter of Sysco?"
163,"Where is the headquarter of FedEx?"
164,"Where is the headquarter of Nationwide?"
165,"Where is the headquarter of Johnson Controls?"
166,"Where is the headquarter of Best Buy?"
167,"Where is the headquarter of Merck?"
168,"Where is the headquarter of Liberty Mutual Insurance Group?"
169,"Where is the headquarter of Goldman Sachs Group?"
170,"Where is the headquarter of Honeywell International?"
171,"Where is the headquarter of Oracle?"
172,"Where is the headquarter of Morgan Stanley?"
173,"Where is the headquarter of Cigna?"
174,"Where is the headquarter of United Continental Holdings?"
175,"Where is the headquarter of Allstate?"
176,"Where is the headquarter of American Express?"
177,"Where is the headquarter of Nike?"
178,"Where is the headquarter of Time Warner?"
179,"Where is the headquarter of Northwestern Mutual?"
180,"What is the founding date of Walmart?"
181,"What is the founding date of Verizon?"
182,"What is the founding date of Walmart?"
183,"What is the founding date of Verizon?"
184,"What is the founding date of Chevron?"
185,"What is the founding date of Costco?"
186,"What is the founding date of Amazon.com?"
187,"What is the founding date of HP?"
188,"What is the founding date of J.P. Morgan Chase?"
189,"What is the founding date of Boeing?"
190,"What is the founding date of Microsoft?"
191,"What is the founding date of Bank of America Corp.?"
192,"What is the founding date of Wells Fargo?"
193,"What is the founding date of Home Depot?"
194,"What is the founding date of Citigroup?"
195,"What is the founding date of Phillips 66?"
196,"What is the founding date of IBM?"
197,"What is the founding date of State Farm Insurance Cos.?"
198,"What is the founding date of Alphabet?"
199,"What is the founding date of Comcast?"
200,"What is the founding date of Target?"
201,"What is the founding date of Johnson & Johnson?"
202,"What is the founding date of MetLife?"
203,"What is the founding date of Intel?"
204,"What is the founding date of Humana?"
205,"What is the founding date of Disney?"
206,"What is the founding date of Cisco Systems?"
207,"What is the founding date of Pfizer?"
208,"What is the founding date of Coca-Cola?"
209,"What is the founding date of Goldman Sachs Group?"
210,"What is the founding date of Honeywell International?"
211,"What is the founding date of Massachusetts Mutual Life Insurance?"
212,"What is the founding date of Oracle?"
213,"What is the founding date of Morgan Stanley?"
214,"What is the founding date of Cigna?"
215,"What is the founding date of United Continental Holdings?"
216,"What is the founding date of Allstate?"
217,"What is the founding date of Nike?"
218,"What is the founding date of World Fuel Services?"
219,"What is the founding date of 3M?"
220,"What is the founding date of Mondelez International?"
221,"What is the founding date of Exelon?"
222,"What is the founding date of Twenty-First Century Fox?"
223,"What is the founding date of Deere?"
224,"What is the founding date of Tesoro?"
